Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather,City
-1.8,-6.9,68,11,48.3,101.97,Clear,Pelotas
0.1,-6.2,63,7,48.3,102.0,Clear,Pedro Leopoldo
2.7,-5.9,53,7,48.3,101.98,Mainly Clear,Pedreira
3.8,-5.7,50,13,48.3,101.97,Clear,Pedra Azul
5.9,-4.2,48,11,48.3,101.92,Clear,Pederneiras
6.8,-3.2,49,24,48.3,101.86,Clear,Paulínia
9.0,-1.9,46,20,48.3,101.79,Clear,Patrocínio
9.5,-1.6,46,24,48.3,101.74,Clear,Patos de Minas
10.5,-1.3,44,20,48.3,101.69,Clear,Pato Branco
10.9,-0.7,45,15,48.3,101.65,Clear,Paty do Alferes
10.7,-0.6,45,11,48.3,101.65,Clear,Passos
9.1,-1.0,49,7,25.0,101.68,Clear,Passo Fundo
7.4,-1.2,54,6,25.0,101.69,Clear,Parobé
4.8,-1.5,64,9,48.3,101.7,Clear,Paraty
4.8,-1.6,63,13,25.0,101.72,Mainly Clear,Paranavaí
5.2,-1.9,60,6,25.0,101.72,Clear,Paranapanema
6.1,-2.0,56,7,25.0,101.75,Clear,Paranaíba
6.0,-1.8,57,20,25.0,101.77,Clear,Paranaguá
5.2,-1.8,61,17,25.0,101.77,Mainly Clear,Paraíba do Sul
4.6,-2.1,62,9,25.0,101.77,Mainly Clear,Paraguaçu Paulista
1.5,-2.8,73,11,25.0,101.78,Mainly Clear,Paraguaçu
1.8,-2.6,73,4,25.0,101.8,Mainly Clear,Pará de Minas
2.3,-1.9,74,9,25.0,101.82,Clear,Paracatu
3.1,-1.8,70,11,48.3,101.89,Clear,Paracambi
2.6,-2.3,70,4,48.3,101.98,Mainly Clear,Panambi
4.4,-1.0,68,6,48.3,102.03,Mainly Clear,Palotina
6.5,-0.2,62,0,48.3,102.03,Mostly Cloudy,Palmital
8.3,0.2,57,9,24.1,102.0,Cloudy,Palmeira das Missões
10.6,0.3,49,6,24.1,101.99,Cloudy,Palmeira
10.8,0.4,49,9,48.3,101.94,Mostly Cloudy,Palmas
11.6,0.6,47,13,48.3,101.84,Mostly Cloudy,Palhoça
12.3,1.4,47,6,48.3,101.79,Mostly Cloudy,Paiçandu
12.4,0.6,44,4,48.3,101.71,Cloudy,Padre Bernardo
11.8,1.2,48,4,25.0,101.64,Cloudy,Ouro Preto
11.6,1.0,48,6,24.1,101.57,Cloudy,Ouro Branco
9.0,1.1,58,13,25.0,101.54,Cloudy,Ourinhos
8.7,1.1,59,13,25.0,101.5,Cloudy,Osvaldo Cruz
9.2,1.4,58,13,25.0,101.44,Cloudy,Osório
8.4,1.0,60,13,25.0,101.39,Mostly Cloudy,Osasco
7.9,0.7,60,11,25.0,101.35,Mostly Cloudy,Orleans
6.6,-0.3,61,11,25.0,101.22,Mostly Cloudy,Orlândia
7.5,-0.7,56,13,25.0,101.11,Mostly Cloudy,Oliveira
5.1,-0.9,65,13,25.0,101.07,Rain Showers,Olímpia
4.8,-1.0,66,6,25.0,101.05,Rain Showers,Novo Horizonte
4.6,-0.2,71,15,25.0,100.87,Cloudy,Novo Hamburgo
6.5,1.1,68,7,25.0,100.74,Cloudy,Nova Viçosa
5.8,1.1,72,6,25.0,100.71,Cloudy,Nova Venécia
7.4,1.8,68,9,19.3,100.6,Cloudy,Nova Prata
4.0,1.0,81,11,9.7,100.61,"Rain,Haze",Nova Petrópolis
5.5,2.9,83,7,6.4,100.5,"Rain,Haze",Nova Olímpia
4.4,2.3,86,17,4.0,100.51,"Rain,Haze",Nova Odessa
3.5,1.5,87,11,2.4,100.54,"Drizzle,Fog",Nova Lima
3.5,1.6,87,11,4.8,100.57,"Drizzle,Fog",Nova Iguaçu
3.9,2.2,89,9,4.8,100.64,Fog,Nova Granada
4.9,3.0,87,7,6.4,100.63,Fog,Nova Friburgo
6.5,4.5,87,7,6.4,100.61,Fog,Nova Era
5.3,3.3,87,11,8.0,100.63,Fog,Nossa Senhora do Socorro
5.5,2.8,83,11,8.0,100.67,Haze,Nossa Senhora da Glória
4.9,2.2,83,17,8.0,100.68,Haze,Niterói
4.0,1.5,84,13,8.0,100.73,Haze,Niquelândia
3.1,0.9,85,17,6.4,100.79,"Drizzle,Fog",Nilópolis
2.6,0.3,85,17,6.4,100.77,Haze,Nerópolis
1.1,-1.0,86,20,4.8,100.87,"Rain,Fog",Nepomuceno
1.4,-0.7,86,6,6.4,100.93,Haze,Nazaré
1.1,-0.9,86,9,4.8,100.98,Haze,Naviraí
0.7,-1.0,88,7,3.2,101.02,Fog,Navegantes
0.7,-0.9,89,7,1.0,101.06,Fog,Nanuque
0.6,-1.0,89,7,0.8,101.05,Fog,Muzambinho
0.8,-0.3,92,6,0.6,101.06,Fog,Muritiba
0.8,-0.6,90,4,0.6,101.13,Fog,Muriaé
0.7,-0.9,89,6,0.6,101.23,Fog,Mucuri
0.6,-0.9,90,7,0.6,101.28,Fog,Morro do Chapéu
0.8,-0.4,92,6,2.4,101.36,Fog,Morro Agudo
1.1,-0.1,92,6,3.2,101.46,"Rain,Fog",Morrinhos
1.6,0.4,92,7,4.8,101.51,"Rain,Fog",Montes Claros
1.1,0.5,96,7,2.4,101.57,"Snow,Fog",Monte Santo de Minas
0.4,0.1,98,6,1.6,101.6,"Snow,Fog",Montenegro
1.0,0.8,99,4,2.0,101.65,"Snow,Fog",Monte Mor
2.1,1.8,98,4,4.8,101.67,"Rain,Fog",Monte Carmelo
2.2,1.8,97,7,8.0,101.7,"Drizzle,Fog",Monte Azul Paulista
1.7,1.3,97,13,4.8,101.77,"Drizzle,Fog",Monte Aprazível
1.5,1.2,98,13,8.0,101.82,"Drizzle,Fog",Monte Alto
1.0,0.6,97,15,9.7,101.89,Fog,Mongaguá
0.5,0.1,97,17,9.7,101.99,"Drizzle,Fog",Mogi Mirim
0.3,-0.2,96,15,8.0,102.07,"Snow,Fog",Mogi-Gaucu
0.2,-0.5,95,15,12.9,102.13,Cloudy,Mogi das Cruzes
-0.1,-0.9,94,17,12.9,102.17,Cloudy,Mococa
-0.3,-1.3,93,20,12.9,102.18,Cloudy,Mirandopólis
-0.6,-1.6,93,15,12.9,102.23,Cloudy,Miracema
-0.6,-1.7,92,19,12.9,102.24,Cloudy,Mineiros
-0.6,-1.7,92,19,12.9,102.27,Cloudy,Miguel Pereira
-0.4,-1.5,92,13,12.9,102.29,Cloudy,Miguelópolis
-0.3,-1.5,92,11,12.9,102.25,Cloudy,Mendes
-0.2,-1.3,92,17,12.9,102.26,Cloudy,Medianeira
-0.3,-1.5,92,15,12.9,102.34,Cloudy,Medeiros Neto
-0.3,-1.6,91,20,16.1,102.36,Cloudy,Mauá
-0.5,-1.9,90,13,16.1,102.4,Cloudy,Matozinhos
-0.5,-2.1,89,17,19.3,102.42,Cloudy,Mateus Leme
-0.3,-2.0,88,20,16.1,102.39,Cloudy,Matão
0.4,-1.6,86,22,19.3,102.31,Cloudy,Mata de São João
1.1,-1.3,84,19,24.1,102.23,Cloudy,Mascote
2.2,-0.7,81,19,24.1,102.18,Cloudy,Martinópolis
3.4,0.0,78,22,24.1,102.12,Cloudy,Maringá
3.4,-0.1,78,22,24.1,102.05,Cloudy,Marília
4.0,0.6,78,24,24.1,102.0,Mostly Cloudy,Maricá
3.5,0.1,78,20,24.1,101.99,Mostly Cloudy,Mariana
3.0,-0.3,79,26,24.1,101.98,Mostly Cloudy,Marialva
2.6,-0.3,81,22,24.1,101.98,Rain Showers,Marechal Cândido Rondon
2.4,-0.4,82,28,25.0,101.88,Mostly Cloudy,Marau
2.3,-0.2,84,24,25.0,101.86,Mostly Cloudy,Marataizes
2.0,0.4,89,28,25.0,101.8,Rain Showers,Maragogipe
2.1,0.5,89,20,25.0,101.77,Mostly Cloudy,Maracás
1.8,0.2,89,19,25.0,101.7,Mostly Cloudy,Maracaju
1.8,0.4,90,19,25.0,101.67,Cloudy,Manhumirim
1.9,0.6,91,15,25.0,101.54,Rain Showers,Manhuaçu
1.1,0.2,94,17,12.9,101.56,Rain,Mangaratiba
1.1,0.5,96,19,6.4,101.46,Rain,Mandaguari
1.0,0.5,96,17,4.8,101.39,Rain,Mairiporã
0.7,0.3,97,20,4.8,101.36,Rain,Mairinque
0.6,0.2,97,24,6.4,101.39,"Rain,Fog",Mafra
1.1,0.6,96,19,4.8,101.37,"Rain,Fog",Machado
1.1,0.7,97,15,4.0,101.38,"Rain,Fog",Macatuba
1.1,0.7,97,17,4.0,101.41,"Rain,Fog",Macaé
1.5,1.1,97,13,4.8,101.41,"Rain,Fog",Luziânia
1.8,1.3,96,13,8.0,101.4,"Rain,Fog",Lucas
2.5,2.0,96,6,8.0,101.42,Fog,Louveira
3.3,2.8,97,6,9.7,101.38,Fog,Lorena
4.0,3.2,95,11,9.7,101.4,Fog,Londrina
3.7,3.2,97,7,6.4,101.48,Fog,Loanda
4.3,3.5,95,4,8.0,101.53,Fog,Livramento do Brumado
4.1,3.2,94,7,8.0,101.61,Fog,Lins
3.8,3.2,96,7,4.8,101.71,"Drizzle,Fog",Linhares
3.8,3.2,96,0,3.2,101.77,"Drizzle,Fog",Limeira
3.7,3.3,97,0,2.0,101.93,"Drizzle,Fog",Leopoldina
4.0,3.7,98,7,3.2,101.93,"Drizzle,Fog",Lençóis Paulista
3.8,3.4,97,0,6.4,102.04,"Drizzle,Fog",Leme
3.7,3.3,97,0,3.2,102.07,"Drizzle,Fog",Lavras
3.8,3.5,98,4,1.6,102.05,"Drizzle,Fog",Laranjeiras do Sul
3.0,2.7,98,6,0.6,102.05,Fog,Laranjeiras
2.7,2.5,99,4,0.2,102.09,Fog,Laranjal Paulista
1.8,1.6,99,4,0.2,102.1,Fog,Lapa
0.3,0.1,99,0,0.2,102.15,Fog,Lajinha
-0.1,-0.3,99,0,0.8,102.2,Freezing Fog,Lages
-0.1,-0.4,98,4,0.2,102.26,Freezing Fog,Lajeado
0.5,0.4,99,0,0.2,102.34,Fog,Laguna
1.0,0.9,99,0,0.2,102.39,Fog,Lagoa Vermelha
1.6,1.5,99,4,0.2,102.38,Fog,Lagoa Santa
2.6,2.6,100,0,0.2,102.37,Fog,Lagoa da Prata
4.1,3.8,98,4,0.6,102.34,Fog,Lagarto
5.7,5.3,97,4,9.7,102.32,Fog,Ladário
8.1,6.2,88,7,16.1,102.18,Cloudy,Jundiaí
9.2,4.3,71,7,24.1,102.13,Cloudy,Júlio de Castilhos
10.2,4.4,67,6,24.1,102.07,Cloudy,Juiz de Fora
10.5,4.1,65,7,48.3,102.02,Cloudy,Juatuba
10.1,4.7,69,9,48.3,101.97,Cloudy,José Bonifácio
10.1,5.4,73,7,48.3,101.95,Cloudy,Joinville
9.8,5.9,77,6,25.0,101.93,Cloudy,João Pinheiro
9.3,5.2,76,0,25.0,101.92,Cloudy,João Monlevade
8.8,5.5,80,4,25.0,101.8,Mostly Cloudy,Joaçaba
7.7,4.9,82,0,25.0,101.77,Mainly Clear,Jeremoabo
6.7,4.7,87,7,25.0,101.78,Mainly Clear,Jequitinhonha
3.8,2.8,93,4,25.0,101.75,Mainly Clear,Jequié
5.2,3.5,89,0,25.0,101.74,Mostly Cloudy,Jaú
4.3,3.0,91,6,25.0,101.71,Mainly Clear,Jataí
3.9,2.4,90,7,25.0,101.66,Clear,Jarinu
3.2,2.3,94,6,25.0,101.69,Clear,Jardinópolis
3.5,2.4,92,6,25.0,101.7,Clear,Jardim
3.6,2.6,93,7,24.1,101.72,Clear,Jaraguá do Sul
5.1,3.7,91,4,48.3,101.78,Mainly Clear,Jaraguá
8.8,5.8,81,11,48.3,101.79,Mainly Clear,Japeri
10.4,6.6,77,11,48.3,101.81,Mainly Clear,Januária
11.9,6.7,70,13,48.3,101.78,Mainly Clear,Jandira
14.1,7.6,65,13,48.3,101.71,Clear,Jandaia do Sul
17.3,8.7,57,11,48.3,101.63,Clear,Janaúba
20.0,9.9,52,15,48.3,101.55,Mainly Clear,Jales
21.7,10.5,49,13,48.3,101.45,Mainly Clear,Jaguariúna
22.2,10.4,47,15,48.3,101.39,Mainly Clear,Jaguariaíva
22.7,10.7,47,11,48.3,101.35,Mainly Clear,Jaguarari
21.8,11.0,50,6,48.3,101.32,Mostly Cloudy,Jaguarão
18.4,10.1,58,9,48.3,101.32,Mostly Cloudy,Jaguaquara
17.1,9.8,62,0,25.0,101.3,Mainly Clear,Jacutinga
12.8,8.6,76,7,25.0,101.34,Clear,Jacobina
13.4,9.2,76,4,25.0,101.37,Mainly Clear,Jaciara
12.6,8.9,78,7,25.0,101.39,Mainly Clear,Jacarezinho
10.6,7.9,83,6,25.0,101.37,Mainly Clear,Jacareí
9.8,7.6,86,6,25.0,101.37,Mainly Clear,Jaboticabal
10.8,8.5,86,6,25.0,101.39,Clear,Ivoti
10.6,8.6,87,4,25.0,101.42,Clear,Ituverava
10.2,8.3,88,11,25.0,101.42,Clear,Iturama
11.2,9.0,86,6,25.0,101.49,Clear,Itupeva
9.7,8.1,90,7,25.0,101.5,Clear,Itumbiara
11.3,9.4,88,4,24.1,101.56,Mainly Clear,Ituiutaba
9.9,8.5,91,0,12.9,101.59,Mostly Cloudy,Ituberá
11.9,9.9,88,7,12.9,101.67,Mostly Cloudy,Itu
13.9,10.5,80,6,12.9,101.71,Mainly Clear,Itororó
15.6,11.0,74,6,16.1,101.75,Mainly Clear,Itaúna
17.8,11.6,67,4,16.1,101.75,Mainly Clear,Itatinga
19.8,12.0,61,4,19.3,101.75,Mainly Clear,Itatiba
18.5,11.0,62,19,19.3,101.72,Mainly Clear,Itararé
17.0,9.9,63,15,24.1,101.72,Mainly Clear,Itaqui
16.3,10.0,66,17,24.1,101.71,Mainly Clear,Itaquaquecetuba
16.6,9.7,64,11,24.1,101.66,Mainly Clear,Itapuranga
15.9,9.1,64,13,24.1,101.66,Mainly Clear,Itápolis
13.9,7.9,67,19,24.1,101.67,Mainly Clear,Itapira
12.5,6.7,68,15,25.0,101.71,Mainly Clear,Itapevi
10.6,5.4,70,13,25.0,101.8,Mainly Clear,Itapeva
9.5,4.1,69,15,25.0,101.8,Clear,Itapetininga
8.8,2.7,66,17,25.0,101.83,Clear,Itapetinga
7.2,1.8,69,9,25.0,101.86,Clear,Itaperuna
7.1,1.0,65,11,25.0,101.85,Clear,Itaperuçu
6.1,0.7,68,11,25.0,101.85,Clear,Itapemirim
5.7,0.4,69,11,25.0,101.85,Clear,Itapema
5.2,0.2,70,7,25.0,101.86,Clear,Itapecerica da Serra
5.2,-0.2,68,4,25.0,101.88,Clear,Itapecerica
5.0,-0.3,69,7,25.0,101.92,Clear,Itaparica
3.2,-0.6,76,4,24.1,101.97,Clear,Itapaci
5.5,-0.1,67,4,24.1,102.0,Clear,Itaocara
8.0,0.6,60,6,24.1,102.08,Clear,Itanhaém
10.6,1.3,53,0,19.3,102.09,Mainly Clear,Itambé
12.6,2.6,50,4,24.1,102.07,Mainly Clear,Itamarandiba
14.9,4.0,48,6,24.1,102.02,Clear,Itamaraju
16.5,6.7,52,9,24.1,101.98,Clear,Itajuípe
20.0,10.8,55,13,24.1,101.93,Clear,Itajubá
21.5,11.8,54,11,24.1,101.83,Clear,Itajaí
22.5,12.3,52,9,24.1,101.78,Clear,Itaí
23.3,12.1,49,7,24.1,101.73,Clear,Itaguaí
22.0,12.1,53,7,24.1,101.72,Clear,Itabuna
19.7,11.7,60,4,24.1,101.74,Clear,Itaboraí
17.5,10.9,65,6,25.0,101.79,Clear,Itabirito
18.1,11.6,66,4,25.0,101.85,Clear,Itabira
16.0,10.9,72,6,25.0,101.89,Clear,Itaberaí
14.2,10.3,77,4,25.0,101.9,Clear,Itaberaba
14.3,10.7,79,6,25.0,101.91,Clear,Itabaianinha
14.0,11.0,82,9,25.0,101.9,Clear,Itabaiana
12.4,10.5,88,4,25.0,101.92,Clear,Irecê
11.8,10.3,91,6,25.0,101.93,Clear,Irati
11.4,9.8,90,4,25.0,101.93,Clear,Iracemápolis
10.6,9.1,90,0,25.0,101.95,Clear,Iporá
10.0,8.8,92,0,25.0,102.02,Clear,Ipirá
9.5,8.6,94,4,9.7,102.07,Fog,Ipiaú
11.3,9.9,91,4,9.7,102.1,Fog,Iperó
13.8,11.5,86,9,12.9,102.15,Clear,Ipatinga
15.9,11.8,77,7,19.3,102.17,Clear,Ipameri
18.2,12.5,69,13,24.1,102.09,Clear,Ipaba
20.2,12.3,60,15,24.1,102.01,Clear,Inhumas
22.3,12.6,54,15,24.1,101.94,Clear,Indaiatuba
23.8,12.1,48,17,24.1,101.85,Clear,Indaial
24.7,12.1,45,13,24.1,101.77,Clear,Imbituva
25.4,12.0,43,17,48.3,101.72,Clear,Imbituba
25.5,11.0,40,17,48.3,101.69,Clear,Ilhéus
25.2,10.7,40,13,48.3,101.68,Clear,Ilha Solteira
20.7,9.7,49,9,48.3,101.67,Clear,Ilhabela
17.2,9.1,59,6,25.0,101.67,Clear,Ijuí
18.4,8.9,54,7,25.0,101.7,Clear,Iguape
16.4,9.7,65,13,25.0,101.68,Clear,Igrejinha
18.0,10.5,62,7,25.0,101.66,Clear,Igarapé
16.5,9.5,63,7,25.0,101.66,Clear,Igarapava
17.0,9.1,60,13,25.0,101.63,Clear,Igaraçu do Tietê
15.5,8.7,64,11,25.0,101.62,Clear,Içara
15.0,8.7,66,7,25.0,101.59,Clear,Ibotirama
11.0,7.4,78,9,25.0,101.56,Clear,Ibiúna
13.2,8.4,73,6,25.0,101.54,Clear,Ibitinga
12.8,8.5,75,13,25.0,101.59,Clear,Ibirité
13.7,9.0,73,15,48.3,101.57,Mostly Cloudy,Ibirataia
14.2,9.5,73,22,24.1,101.55,Mainly Clear,Ibirama
15.4,9.9,70,15,24.1,101.55,Mainly Clear,Ibiporã
17.3,10.4,64,22,24.1,101.53,Mainly Clear,Ibicaraí
19.6,11.4,59,17,24.1,101.57,Mainly Clear,Ibiá
20.4,11.9,58,15,24.1,101.52,Mainly Clear,Ibaté
23.0,12.0,50,20,24.1,101.5,Mostly Cloudy,Ibaiti
23.3,12.1,49,19,24.1,101.43,Mostly Cloudy,Iaçu
22.8,12.6,53,17,24.1,101.4,Cloudy,Hortolândia
21.4,12.8,58,6,24.1,101.38,Cloudy,Herval
22.2,12.3,53,13,24.1,101.33,Mostly Cloudy,Gurupi
20.0,12.2,61,11,24.1,101.39,Mostly Cloudy,Guaxupé
18.2,11.5,65,19,24.1,101.48,Rain Showers,Guarulhos
16.7,9.4,62,13,25.0,101.52,Rain Showers,Guarujá
15.1,8.5,65,11,25.0,101.58,Mainly Clear,Guariba
12.1,7.4,73,7,25.0,101.59,Mainly Clear,Guaratuba
11.0,6.8,75,7,25.0,101.61,Mainly Clear,Guaratinguetá
11.3,7.2,76,6,25.0,101.62,Clear,Guararema
10.4,7.1,80,7,25.0,101.67,Mainly Clear,Guararapes
10.3,7.5,83,0,25.0,101.7,Mainly Clear,Guarapuava
8.9,6.5,85,9,25.0,101.71,Mainly Clear,Guarapari
8.8,6.4,85,9,25.0,101.72,Mainly Clear,Guaranésia
9.2,6.3,82,7,25.0,101.76,Clear,Guaramirim
8.0,5.2,82,9,25.0,101.85,Clear,Guará
6.6,2.9,77,7,25.0,101.9,Clear,Guaporé
8.4,3.0,69,0,48.3,101.93,Clear,Guapimirim
11.3,1.8,52,0,48.3,101.93,Clear,Guanhães
12.8,2.3,49,4,48.3,101.94,Clear,Guanambi
14.5,0.1,37,17,48.3,101.93,Clear,Guaíra
14.9,-3.0,29,15,48.3,101.87,Clear,Guaçuí
16.2,-2.5,28,11,48.3,101.81,Mainly Clear,Gravataí
16.8,-2.3,27,7,48.3,101.71,Mostly Cloudy,Governador Valadares
16.6,-6.8,19,15,48.3,101.66,Mostly Cloudy,Goiatuba
16.4,-6.8,20,15,48.3,101.63,Mostly Cloudy,Goiás
15.5,-9.0,18,22,48.3,101.6,Cloudy,Goianira
14.7,-5.1,25,13,48.3,101.62,Cloudy,Goiânia
13.4,-5.8,26,13,48.3,101.64,Cloudy,Goianésia
11.8,-5.5,29,11,25.0,101.68,Mostly Cloudy,Gaspar
10.9,-5.9,30,6,25.0,101.72,Cloudy,Garibaldi
10.8,-8.0,26,15,25.0,101.7,Mostly Cloudy,Garça
10.6,-8.9,24,19,25.0,101.73,Cloudy,Gandu
9.9,-8.7,26,19,25.0,101.78,Mostly Cloudy,Frutal
8.4,-9.1,28,22,25.0,101.8,Mostly Cloudy,Frederico Westphalen
7.3,-9.4,29,20,25.0,101.85,Mainly Clear,Franco da Rocha
6.2,-10.6,29,19,25.0,101.86,Mostly Cloudy,Francisco Morato
5.3,-9.4,34,22,25.0,101.86,Mostly Cloudy,Francisco Beltrão
4.4,-8.9,37,13,25.0,101.88,Cloudy,Franca
3.6,-8.5,41,19,25.0,101.89,Cloudy,Foz do Iguaçu
3.2,-8.8,41,19,24.1,101.93,Cloudy,Forquilhinha
3.1,-9.3,40,15,24.1,101.97,Cloudy,Formosa
2.7,-9.4,40,19,24.1,101.98,Cloudy,Formiga
3.0,-11.2,34,22,48.3,101.94,Cloudy,Florianópolis
3.7,-9.5,37,22,48.3,101.89,Cloudy,Flores da Cunha
3.7,-11.1,33,22,48.3,101.86,Cloudy,Ferraz de Vasconcelos
4.8,-10.3,33,19,48.3,101.8,Cloudy,Fernandópolis
4.7,-10.9,31,19,48.3,101.74,Cloudy,Feira de Santana
6.1,-8.7,34,9,48.3,101.68,Cloudy,Farroupilha
5.8,-9.8,32,4,48.3,101.61,Cloudy,Euclides da Cunha
6.1,-9.5,32,7,48.3,101.53,Cloudy,Estrela
6.1,-10.3,30,13,48.3,101.47,Cloudy,Esteio
6.1,-9.9,31,13,48.3,101.46,Cloudy,Estância Velha
6.2,-8.4,34,13,25.0,101.38,Cloudy,Estância
6.3,-7.4,37,9,25.0,101.35,Cloudy,Esplanada
6.6,-8.1,34,9,25.0,101.28,Cloudy,Espinosa
6.6,-7.8,35,11,25.0,101.22,Cloudy,Esmeraldas
6.5,-7.2,37,7,25.0,101.15,Rain Showers,Erechim
5.8,-5.7,43,20,25.0,101.05,Rain,Entre Rios
5.9,-6.2,41,13,25.0,101.03,Cloudy,Encruzilhada do Sul
5.9,-5.0,45,9,25.0,100.91,Rain Showers,Encantado
5.8,-4.2,49,7,25.0,100.84,Cloudy,Embu Guaçu
5.3,-4.3,50,19,25.0,100.79,Cloudy,Embu
4.5,-2.9,59,11,25.0,100.73,Cloudy,Elói Mendes
3.8,-0.9,71,15,24.1,100.76,Rain Showers,Duque de Caxias
2.5,0.9,89,17,24.1,100.76,Rain,Dourados
3.0,1.5,90,6,24.1,100.74,Rain,Dom Pedrito
3.1,2.0,92,0,6.4,100.71,"Rain,Fog",Dois Vizinhos
3.9,2.7,92,0,12.9,100.66,Cloudy,Dois Córregos
5.2,3.6,89,6,16.1,100.58,Cloudy,Divinópolis
5.9,3.7,86,6,24.1,100.54,Cloudy,Diamantino
6.6,4.0,83,6,24.1,100.47,Cloudy,Diamantina
7.5,4.1,79,11,24.1,100.39,Cloudy,Diadema
7.6,4.6,81,9,24.1,100.29,Mostly Cloudy,Descalvado
8.4,4.8,78,9,24.1,100.27,Cloudy,Curvelo
9.2,5.3,77,7,24.1,100.26,Cloudy,Curitibanos
8.9,5.7,80,7,24.1,100.28,Mostly Cloudy,Curitiba
8.7,5.2,79,4,25.0,100.25,Mainly Clear,Cuiabá
7.3,4.9,85,7,25.0,100.22,Mostly Cloudy,Cubatão
8.2,5.7,84,13,25.0,100.21,Mainly Clear,Cruzeiro do Oeste
7.5,5.5,87,11,25.0,100.17,Mainly Clear,Cruzeiro
6.4,4.8,89,11,25.0,100.12,Mostly Cloudy,Cruz das Almas
7.3,3.7,78,24,25.0,100.19,Rain Showers,Cruz Alta
4.6,-1.9,63,33,25.0,100.29,Rain Showers,Cristalina
2.6,-3.7,63,26,25.0,100.4,Cloudy,Criciúma
0.8,-8.9,48,26,25.0,100.6,Mostly Cloudy,Cravinhos
-1.1,-10.4,49,22,25.0,100.74,Clear,Coxim
-1.9,-10.9,50,20,25.0,100.86,Clear,Cotia
-3.8,-13.4,47,32,24.1,101.03,Clear,Cosmópolis
-3.8,-13.6,46,26,48.3,101.19,Mainly Clear,Coruripe
-4.0,-12.6,51,26,48.3,101.27,Mostly Cloudy,Corumbá
-3.0,-13.1,46,22,48.3,101.33,Mainly Clear,Coronel Vivida
-2.1,-13.0,43,26,48.3,101.32,Mainly Clear,Coronel Fabriciano
-0.6,-11.4,44,28,48.3,101.3,Mainly Clear,Coromandel
0.2,-11.4,41,30,48.3,101.28,Mainly Clear,Cornélio Procópio
0.6,-12.6,36,28,48.3,101.26,Mainly Clear,Corinto
1.3,-13.3,33,28,48.3,101.24,Mainly Clear,Cordeirópolis
1.4,-14.8,29,30,48.3,101.26,Mainly Clear,Cordeiro
1.3,-15.7,27,30,48.3,101.29,Clear,Contagem
1.2,-16.3,26,32,48.3,101.34,Clear,Conselheiro Lafaiete
0.1,-17.3,26,24,48.3,101.43,Clear,Congonhas
-0.7,-18.0,26,28,25.0,101.56,Clear,Conde
-1.4,-18.7,25,28,25.0,101.68,Clear,Concórdia
-2.3,-18.4,28,24,25.0,101.79,Clear,Conchal
-2.9,-17.8,31,28,25.0,101.84,Clear,Conceição do Coité
-3.6,-17.4,33,26,25.0,101.9,Clear,Conceição do Jacuípe
-4.3,-17.6,35,22,25.0,101.94,Clear,Conceição das Alagoas
-5.0,-17.7,36,19,25.0,101.96,Clear,Conceição da Feira
-5.4,-16.8,40,17,25.0,102.02,Clear,Conceição da Barra
-6.0,-17.0,41,17,25.0,102.06,Clear,Colorado
-6.5,-17.3,42,13,25.0,102.14,Clear,Colombo
-7.4,-16.4,49,11,25.0,102.24,Clear,Colatina
-7.5,-16.4,49,9,48.3,102.31,Clear,Coaraci
-6.1,-17.7,39,9,48.3,102.39,Clear,Cláudio
-5.1,-18.7,34,13,48.3,102.41,Clear,Cícero Dantas
-4.3,-20.3,27,9,48.3,102.44,Clear,Cianorte
-2.5,-21.7,21,0,48.3,102.48,Clear,Charqueadas
-1.6,-20.6,22,6,48.3,102.43,Clear,Chapecó
0.2,-16.7,27,9,48.3,102.31,Clear,Cerquilho
1.0,-16.1,27,6,48.3,102.2,Mainly Clear,Ceres
1.7,-18.4,21,13,48.3,102.06,Mainly Clear,Celso Ramos
2.1,-16.5,24,15,48.3,101.98,Mainly Clear,Caxias do Sul
2.7,-13.0,30,17,48.3,101.93,Mostly Cloudy,Caxambu
2.7,-12.3,32,19,48.3,101.88,Mostly Cloudy,Catu
2.6,-11.9,33,15,48.3,101.79,Mostly Cloudy,Catanduva
2.8,-11.7,33,11,25.0,101.74,Mostly Cloudy,Catalão
2.6,-11.4,35,13,25.0,101.68,Cloudy,Cataguases
2.1,-10.7,38,9,25.0,101.67,Cloudy,Castro
1.0,-10.1,43,20,25.0,101.47,Cloudy,Castelo
1.0,-10.8,41,13,25.0,101.44,Cloudy,Cassilândia
1.0,-10.8,41,6,16.1,101.58,Snow,Casimiro de Abreu
-1.1,-4.5,78,11,16.1,101.39,Snow,Cascavel
-1.0,-4.8,75,13,9.7,101.28,Snow,Casa Branca
-1.6,-4.1,83,20,25.0,101.08,Snow,Carmo do Paranaíba
-1.5,-3.8,84,20,25.0,100.88,Snow,Carmo do Cajuru
-1.0,-3.9,81,19,25.0,100.68,Cloudy,Carlos Barbosa
-0.3,-3.5,79,20,24.1,100.51,Snow,Carazinho
0.5,-2.7,79,22,24.1,100.4,Snow,Caratinga
0.8,-2.9,76,19,8.0,100.25,"Snow,Ice Pellets",Carapicuíba
2.1,-3.3,67,15,48.3,100.08,Cloudy,Carangola
2.3,-3.3,66,11,48.3,99.94,Cloudy,Carandaí
